file_stem,bronze_chars,after_fp_chars,after_bp_chars,bp_pct_removed,sections_stripped,stripped_headers,total_issues,content_preservation,strip_completeness,structural_coherence,metadata_accuracy,findings_detail
202641_ISEN_615_600_34728,14883,14847,3552,76.1,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,0,0,4,0,"[struc] The 'Credit Hours: 3' entry is duplicated under the 'Course Information' section. | [struc] The 'Textbook and/or Resource Materials' section is empty. | [struc] Textbook information (title, ISBN, authors, publisher, publication date, edition) is incorrectly placed within the 'Course Schedule' section. | [struc] Under 'Grading Policy', the exam details ('1. The first three exams...', '2. At the end of the course...', '3. The lowest exam grade...') are formatted as markdown heading levels (H1) instead of list items."
202641_ISEN_615_700_48504,14883,14847,3552,76.1,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] The 'Credit Hours: 3' entry is duplicated under the 'Course Information' section. | [struc] The content for 'Textbook and/or Resource Materials' is misplaced within the 'Course Schedule' section, while its header '## Textbook and/or Resource Materials' is orphaned and empty above '## Grading Policy'. | [struc] The numbered list items describing exam rules under 'Grading Policy' are incorrectly formatted with '#' (e.g., '# 1.'), which renders them as H1 headers instead of list items."
202641_ISEN_620_601_52745,16393,16320,5033,69.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] The header 'Textbook and/or Resource Materials' is empty; its content ('This material Is: Recommended Operations Research Authors: Wayne L. Winston, Jeffrey B. Goldberg') is incorrectly placed under the 'Grading' sub-section. | [struc] The assessment items (Midterm I, Midterm II, Final Exam, Part I, Final Exam, Part II) are incorrectly formatted with varying heading levels (#, ##, ###, ####) instead of consistent sub-sections or list items under 'Assessments'. | [struc] The header '##### Course Schedule' appears three times consecutively, indicating duplicate headers."
202641_ISEN_620_700_14035,23038,22955,11399,50.5,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,2,0,"[struc] The URL for the 'Course Handbook' in the 'Textbook and/or Resource Materials' section is malformed due to a space: 'https://drive.google.com/file/d/1ULY4o93XGDNIccGuR Lt2pSvKv14pgo8u/view?usp=sharing' | [struc] The header '### Course Schedule' is duplicated, appearing in the middle of the course schedule content, breaking the flow of the schedule."
202641_ISEN_622_600_19843,15440,15422,3854,75.0,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,"[struc] The URL for the resource in 'Textbook and/or Resource Materials' is broken across two lines, making it invalid: 'https://drive.google.com/file/d/13qVYKm_5vPzPGScfrdH4jhPD9BFOyRfg/view?usp=sharing'"
202641_ISEN_622_700_62869,15434,15416,3848,75.1,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",5,0,0,1,4,"[struc] URL for Resource in 'Textbook and/or Resource Materials' is broken across two lines, potentially causing a malformed link. | [metad] Meeting Days is missing (empty field). | [metad] Meeting Start Time is N/A. | [metad] Meeting End Time is N/A. | [metad] Instructor Office Hours is TBA."
202641_ISEN_625_601_52030,20503,20447,7546,63.2,16,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; Learning Resources; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,"[struc] The '### Weekly Topics' header appears mid-way through the 'Course Schedule' section, disrupting the flow and acting as an orphaned header."
202641_ISEN_625_700_48681,20590,20534,7633,62.9,16,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; Learning Resources; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,0,1,3,0,"[strip] Section 'Late Work Policy' is boilerplate and should be removed | [struc] The descriptive text under 'Additional Course Details' is identical to the descriptive text under 'Course Prerequisites', leading to redundant information. | [struc] The 'Course Schedule' section is not formatted as a markdown table; it uses spaces for alignment instead of markdown table syntax. | [struc] The 'Course Schedule' is split into two parts by an orphaned header '### Weekly Topics', breaking the continuity of the schedule."
202641_ISEN_627_600_64830,16112,16044,4225,73.8,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,2,0,[struc] The content for 'Textbook and/or Resource Materials' (starting with 'This material Is: Required') is separated from its '## Textbook and/or Resource Materials' header by the '## Grading Policy' and '## Late Work Policy' sections. | [struc] The heading '# E-mail is the primary method of communication.' is an H1 heading incorrectly nested under the H2 heading '## Additional Course Information'.
202641_ISEN_630_600_21978,24038,23909,11821,50.8,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",5,0,0,5,0,"[struc] The 'Credit Hours: 3' line is duplicated immediately after itself in the 'Course Information' section. | [struc] The 'Exams' section refers to an 'Academic Integrity and Misconduct Policy section below' which is missing from the document. | [struc] The 'Re-grading Policy' section is duplicated, appearing once under 'Grading Policy' and again under 'Additional Course Information'. | [struc] The header 'Schedule of Topics' is duplicated immediately after itself under 'Course Schedule'. | [struc] The 'Course Schedule' content is not formatted as a proper markdown table; it appears as unformatted text with manual spacing."
202641_ISEN_630_700_51764,24038,23909,11821,50.8,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",5,0,0,5,0,"[struc] The 'Credit Hours: 3' line is duplicated immediately after itself in the 'Course Information' section. | [struc] The 'Exams' section refers to an 'Academic Integrity and Misconduct Policy section below' which is missing from the document. | [struc] The 'Re-grading Policy' section is duplicated, appearing once under 'Grading Policy' and again under 'Additional Course Information'. | [struc] The header 'Schedule of Topics' is duplicated immediately after itself under 'Course Schedule'. | [struc] The 'Course Schedule' content is not formatted as a proper markdown table; it appears as unformatted text with manual spacing."
202641_ISEN_635_600_63276,22295,22247,10237,54.1,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",5,0,0,5,0,"[struc] Duplicate 'Credit Hours: 3' entry under 'Course Information'. | [struc] Markdown heading levels (# A., # B., # 1.) are incorrectly used for list items within the 'Homework' section, breaking the intended list structure. | [struc] Duplicate 'Schedule of Topics' text at the beginning of the 'Course Schedule' section. | [struc] The 'Course Schedule' is presented as plain text with line breaks instead of a properly formatted table, making columns misaligned and hard to read. | [struc] The 'Re-grading Policy' section is duplicated, appearing once as a top-level section and again under 'Additional Course Information'."
202641_ISEN_640_600_55318,15407,15370,4085,73.5,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,1,0,2,0,"[conte] The 'Late Work Policy' section is missing the actual course-specific late work policy details, such as penalties for unexcused late submissions. It only describes an exemption. | [struc] Inconsistent heading levels for Course Learning Outcomes: LO 1 and LO 2 use H1 ('#'), LO 3, LO 4, and LO 7 use H2 ('##'), and LO 5 and LO 6 use H3 ('###'). All learning outcomes should use a consistent heading level, likely H2 or H3, under the '## Course Learning Outcomes' header. | [struc] The 'Course Schedule' section is not formatted as a table; it appears as plain text with columns misaligned, indicating a broken table structure."
202641_ISEN_640_700_20022,15404,15367,4082,73.5,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,2,1,"[struc] In the 'Course Learning Outcomes' section, the learning outcomes (LO 1 through LO 7) are incorrectly formatted as headings of varying levels (H1, H2, H3) instead of consistent list items. | [struc] The 'Course Schedule' section is not formatted as a table; the header 'Week Topic Reading' and subsequent data rows are plain text. | [metad] The 'Meeting Days' field under 'Course Information' is present but has no value."
202641_ISEN_645_601_63758,21855,21711,8613,60.6,3,College of Engineering; Industrial and Systems Engineering; AI Statement,9,0,4,5,0,"[strip] Section '1. The time, date, and the exact AI technology (also termed AI-bot (for AIChatbot) below) used' is boilerplate and should be removed | [strip] Section '2. The full specification of the prompt that was used; including the progression of prompts used to generate the result' is boilerplate and should be removed | [strip] Section '3. The full response provided by the AI-bot' is boilerplate and should be removed | [strip] Section '4. A discussion of how and where you leveraged the AI generated material in the course artifact being produced' is boilerplate and should be removed | [struc] Course Learning Outcome '1. Represent a PS of interest using SE architectures, lean methods, and tools.' is misplaced at the very end of the document instead of under '## Course Learning Outcomes'. | [struc] Orphaned list item markers '1:' and '2:' appear under the 'Late Work Policy' section. | [struc] The 'Course Schedule' section is not formatted as a table; the initial headers 'OV', 'Topical outline', 'Class', 'Core Topic / Theme', 'Technical focus' are not aligned with the subsequent schedule entries. | [struc] Orphaned list item markers '3:' through '14:' appear within the 'Course Schedule' section, disrupting its flow. | [struc] Inconsistent heading levels for the AI-related sections at the end of the document (e.g., '### 3. The full response provided by the AI-bot' follows '## 2. The full specification of the prompt that was used; including the progression of prompts used to generate the result')."
202641_ISEN_645_700_55965,21864,21720,8622,60.6,3,College of Engineering; Industrial and Systems Engineering; AI Statement,5,1,0,3,1,"[conte] The first learning outcome, ""Represent a PS of interest using SE architectures, lean methods, and tools."", is misplaced at the very end of the document instead of being under the ""Course Learning Outcomes"" section. | [struc] In the ""Course Learning Outcomes"" section, the outcomes are formatted as level 1 headings (#) instead of list items or sub-headings. | [struc] The ""Course Schedule"" table is malformed; the first column contains a mix of dates, a holiday note, and then numbered entries (3:, 4:, etc.) that are not dates or class numbers. | [struc] The section at the end of the document (starting with ""## 1. The time, date..."") is a collection of orphaned headings and list items, completely out of context and with inconsistent heading levels and numbering. | [metad] The ""Meeting Days"" field under ""Course Information"" is empty."
202641_ISEN_658_600_50176,15790,15729,4284,72.9,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,2,0,"[struc] Redundant header: '### Course schedule' immediately follows '## Course Schedule'. | [struc] The Course Schedule content, which appears to be a table, has lost its tabular structure. 'Topics' and 'Timeline' headers are repeated, and the data is flattened into a list rather than aligned columns."
202641_ISEN_660_600_63233,22670,22546,11874,47.6,13,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA)",6,0,0,6,0,"[struc] The header ""Webpage: https://safe.engr.tamu.edu/ Biography"" is malformed, combining a webpage link and a section title. | [struc] The 'Course grading components' section contains text that appears to be a malformed table, lacking proper markdown table formatting. | [struc] The 'Grading scale' section contains text that appears to be a malformed table, lacking proper markdown table formatting. | [struc] The header ""URL for Resource: https://education.wiley.com Notes:"" is malformed, combining a URL and a section title. | [struc] The 'Course topics' section is presented as a single-column list under a 'Topics' header, which is structurally unusual for a table and could be better formatted as an unordered list. | [struc] The 'Course Schedule' section contains text that appears to be a malformed table, lacking proper markdown table formatting. Additionally, rows for 'Exam 1' and 'Exam 2' are missing values in the 'Week' column."
202641_ISEN_660_700_63232,24339,24202,13530,44.4,13,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA)",2,0,0,2,0,[struc] The header '### Webpage: https://safe.engr.tamu.edu/ Biography' is malformed; 'Biography' appears to be incorrectly appended to the 'Webpage' header. | [struc] The table under '### Course topics' has a redundant header row 'Topics Topics'.
202641_ISEN_661_600_65051,14087,14065,2498,82.3,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,1,0,0,0,[conte] The general late work policy for unexcused submissions is missing from the 'Late Work Policy' section. The current text only addresses makeup work for excused absences.
202641_ISEN_663_600_63016,15479,15408,3555,77.0,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,"[struc] The table in the 'Course Schedule' section is broken, with the headers 'Week', 'Topic', 'Notes' repeated mid-table, indicating it was split or rendered incorrectly."
202641_ISEN_663_700_62896,15476,15405,3552,77.0,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,0,0,3,1,[struc] The table under 'Grading Policy' is not formatted as a proper markdown table (missing `|` and `---` delimiters). | [struc] The table under 'Course Schedule' is not formatted as a proper markdown table (missing `|` and `---` delimiters). | [struc] The table under 'Course Schedule' has a repeated header row 'Week Topic Notes' in the middle of the table. | [metad] The 'Meeting Days' field under 'Course Information' is empty.
202641_ISEN_667_600_62094,28151,28137,28003,0.5,2,College of Engineering; Industrial and Systems Engineering,21,0,12,8,1,"[strip] Section 'University Policies' is boilerplate and should be removed | [strip] Section 'Academic Integrity Statement and Policy' is boilerplate and should be removed | [strip] Section 'University Attendance Policy' is boilerplate and should be removed | [strip] Section 'Makeup Work Policy' is boilerplate and should be removed | [strip] Section 'Notice of Nondiscrimination' is boilerplate and should be removed | [strip] Section 'Civil Rights, Free Speech, and Title IX Policies' is boilerplate and should be removed | [strip] Section 'Americans with Disabilities Act (ADA) Policy' is boilerplate and should be removed | [strip] Section 'Pregnancy Accommodations' is boilerplate and should be removed | [strip] Section 'Statement on Mental Health and Wellness' is boilerplate and should be removed | [strip] Section 'Texas A&M College Station' (under Mental Health) is boilerplate and should be removed | [strip] Section 'Statement on the Family Educational Rights and Privacy Act (FERPA)' is boilerplate and should be removed | [strip] Section 'Free Speech and Civil Discourse' is boilerplate and should be removed | [struc] The text 'Credit Hours: 3' is duplicated under 'Course Information' | [struc] The 'Office Hours' header is orphaned with no content following it | [struc] Instructor email, office location, and phone number are duplicated under 'Instructor Details' | [struc] The header 'Course Learning Outcomes' is duplicated (H2 and H3) | [struc] Numbered learning outcomes under 'Course Learning Outcomes' are incorrectly parsed as H1, H2, H3, and H4 headings instead of list items | [struc] The learning outcome '### 1. State and understand the meaning of rate of return (R O R)' is orphaned at the end of the document and belongs to Chapter 7 | [struc] The statement '### All quizzes and exams are closed book and closed notes' is incorrectly formatted as a header | [struc] The 'Course Specific Makeup Work Policy' section is a duplicate of the 'Makeup Policy' section under 'Late Work Policy' | [metad] The ISBN '978-1-264-IS809-6' is malformed"
202641_ISEN_667_700_47617,27792,27778,27644,0.5,2,College of Engineering; Industrial and Systems Engineering,18,0,10,8,0,"[strip] Academic Integrity Statement and Policy | [strip] University Attendance Policy | [strip] Makeup Work Policy | [strip] Notice of Nondiscrimination | [strip] Civil Rights, Free Speech, and Title IX Policies | [strip] Americans with Disabilities Act (ADA) Policy | [strip] Pregnancy Accommodations | [strip] Statement on Mental Health and Wellness | [strip] Statement on the Family Educational Rights and Privacy Act (FERPA) | [strip] Free Speech and Civil Discourse | [struc] The 'Credit Hours: 3' information is duplicated within the 'Course Information' section. | [struc] Instructor's 'Email', 'Office Location', and 'Phone' are duplicated within the 'Instructor Details' section. | [struc] The 'Office Hours' header in 'Instructor Details' is orphaned with no content following it. | [struc] All numbered learning outcomes (e.g., '# 1. Define engineering economics...') are incorrectly formatted as headers (H1, H2, H3, H4) instead of list items under 'Course Learning Outcomes'. | [struc] The item '### 1. State and understand the meaning of rate of return (R O R)' is misplaced at the end of the document and incorrectly formatted as a header. | [struc] The section 'Course Specific Makeup Work Policy' is a duplicate of the earlier 'Makeup Policy' section. | [struc] Numbered items under 'Makeup Policy' (e.g., '# 1. Participation in an activity...') are incorrectly formatted as headers (H1, H2, H3, H4) instead of list items. | [struc] Lettered items under 'Makeup Policy' (e.g., 'a. An absence for a non-acute medical service...') are incorrectly formatted as headers (H4) instead of list items."
202641_ISEN_681_600_11620,13000,12982,1645,87.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,2,0,0,0,"[conte] The 'Textbook and/or Resource Materials' section contains contradictory information: 'This material Is: Required' followed by 'No materials are required.' | [conte] The 'Course Schedule' section states that speakers are 'listed under Assignments', but the 'Assignments' section containing this list is missing."
202641_ISEN_684_607_18594,12652,12630,1297,89.7,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,1,0,2,0,[conte] Specific learning outcomes are missing under the 'Course Learning Outcomes' section. | [struc] The 'Credit Hours' information is duplicated: 'Credit Hours: 1 TO 16' appears twice. | [struc] Redundant statements in 'Textbook and/or Resource Materials': 'This material Is: No required textbook' and 'No textbook needed.'
202641_ISEN_684_699_64267,12652,12630,1297,89.7,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,1,0,1,0,"[conte] The actual learning outcomes are missing from the 'Course Learning Outcomes' section, which only contains an introductory sentence. | [struc] The 'Credit Hours' information is duplicated under the 'Course Information' section."
202641_ISEN_689_600_66698,20035,19930,7612,62.0,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,1,2,0,"[strip] Section 'Course Material and Copyright' is boilerplate and should be removed | [struc] The 'Textbook and/or Resource Materials' section is empty, and its intended content (textbook details including ISBN, Authors, Publisher, Edition) is incorrectly placed under the 'Research Report' subsection of 'Grading Policy'. | [struc] The course schedule table is broken into multiple segments, with headers repeated unnecessarily. It should be a single continuous table."
202641_ISEN_689_601_66715,14936,14851,3518,76.4,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,"[struc] The table under 'Syllabus weeks 9 to 14' is missing the 'Assignments due' column header, despite having data for that column (e.g., 'Hw7', 'Hw8')."
202641_ISEN_689_602_66862,16779,16730,4503,73.2,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,"[struc] The 'Course Schedule' section contains a broken table: the header is duplicated/malformed ('Week Topic Tentative course outline Notes' followed by 'Week Topic Notes'), and the subsequent content is not aligned into columns, making the schedule unreadable as a table."
202641_ISEN_691_603_15312,12504,12486,1147,90.8,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,[struc] The 'Credit Hours' line is duplicated under the 'Course Information' section.
202641_ISEN_691_607_22622,15858,15827,4556,71.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",5,0,0,5,0,"[struc] Duplicate header '### Grading Policy' immediately follows '## Grading Policy'. | [struc] Heading '## Grading Appeals:' is at level 2, but should be level 3 as a sub-section of Grading Policy. | [struc] Heading '## Late Work Policy' is at level 2, but should be level 3 as a sub-section of Grading Policy. | [struc] Items under 'Expected Outcomes/Deliverables' are incorrectly formatted with '#' (e.g., '# 1. Midterm deliverable') instead of standard numbered list formatting. | [struc] The 'Course Schedule' section is not formatted as a table, making the 'Week' and 'Tasks' columns difficult to distinguish."
202641_ISEN_691_609_18671,12694,12672,1335,89.5,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,1,0,3,0,"[conte] The list of Course Learning Outcomes is missing after the introductory sentence. | [struc] The line 'Credit Hours: 1 TO 23' is duplicated. | [struc] The header '### Grading Policy' appears twice consecutively. | [struc] List items under 'Grading Policy' have an extraneous hyphen at the beginning (e.g., '- -Weekly participation: 15%')."
202641_ISEN_691_615_43336,12763,12749,1364,89.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,1,0,0,1,[conte] The list of specific Course Learning Outcomes is missing from the 'Course Learning Outcomes' section. | [metad] Meeting Days field is present but its value is empty.
